# Syntax Of Redoc

## Overview

Redoc is a markup language, all special things are in `[]`.

##
multiplicative operator                 乘性运算符
mutable specifier                       mutable 说明符
mutex                                   互斥体
name                                    名字
name hiding                             名字隐藏
name lookup                             名字查找
name mangling                           名字重整
named                                   具名的
namespace                               命名空间
namespace alias                         命名空间别名
namespace definition                    命名空间定义式
namespace scope                         命名空间作用域
narrow character                        窄字符
necessarily reachable                   必定可达
nest                                    嵌套
nested class                            嵌套类
nested name                             嵌套名
nested name specifier                   嵌套名说明符
nested type                             嵌套类型
new expression                          new 表达式
new operator                            new 运算符
noexcept expression                     noexcept 表达式
noexcept operator                       noexcept 运算符
non-allocating form                     非分配形式
non-throwing exception specification    无抛出异常说明
non-vacuous initialization              非无为初始化
normative                               规范性的
normalized                              正规化的
null                                    空
null character                          空字符
null member pointer conversion          空成员指针转换
null member pointer value               空成员指针值
null pointer                            空指针
null pointer conversion                 空指针转换
null pointer constant                   空指针常量
null pointer literal                    空指针字面量
null pointer value                      空指针值
null statement                          空语句
null-terminated                         空终结
object                                  对象
object expression                       对象表达式
object-like macro                       对象式宏
object model                            对象模型
object pointer type                     对象指针类型
object representation                   对象表示
observable                              可观察的
obstruction-free                        无阻碍
odr-used                                ODR 式使用
one-definition rule                     单一定义规则，ODR
opaque enum declaration                 笼统枚举声明式
operand                                 操作数
operator                                运算符
operator overloading                    运算符重载
or operator                             或运算符
ordinary character literal              普通字符字面量
ordinary string literal                 普通字符串字面量
output                                  输出
over-aligned                            过量对齐
overflow                                溢出
overload                                重载
overload resolution                     重载决议
overloaded function                     重载函数
overloaded operator                     重载运算符
override                                覆盖
overrider                               覆盖函数
pack expansion                          包组展开式
parallel                                并行的
parameter                               形参，形式参数
parameter pack                          形参包组
parenthesized expression                带括号表达式
partial order                           偏序，部分顺序
partial specialization                  部分特化，部分特化式
placeholder                             占位符
placeholder type deduction              占位符类型推断
placement allocation function           放置式分配函数
placement deallocation function         放置式回收函数
placement new                           放置式 new
point of declaration                    声明点
point of definition                     定义点
pointer                                 指针
pointer arithmetic                      指针算术
pointer conversion                      指针转换
pointer declarator                      指针声明符
pointer-interchangable                  指针可相互转换
pointer to member                       成员指针
pointer to member conversion            成员指针转换
pointer to member declarator            成员指针声明符
pointer to member of X of type cv T     cv T 类型的 X 的成员指针
pointer to member operator              成员指针运算符
pointer to T                            T 的指针，指向 T 的指针
cv pointer to cv T                      cv T 的 cv 指针
polymorphic                             多态的
postfix                                 后缀
postfix decrement operator              后置减量运算符
